Date,High,Low
0,2007-01-31,1625.0,0.0
1,2007-02-28,3189.0,0.0
2,2007-03-31,7899.0,0.0
3,2007-04-30,8351.0,0.0
4,2007-05-31,4547.0,0.0
5,2007-06-30,1059.0,0.0
6,2007-07-31,341.0,0.0
7,2007-08-31,117.0,0.0
8,2007-09-30,120.0,0.0
9,2007-10-31,264.0,4000.7383
10,2007-11-30,365.0,3905.73
11,2007-12-31,626.0000000000001,4019.9827
12,2008-01-31,1556.0,4470.163
13,2008-02-29,3456.0,5407.888
14,2008-03-31,9981.0,7066.6074
15,2008-04-30,18181.0,12600.039
16,2008-05-31,10463.0,19655.264
17,2008-06-30,2942.9999999999995,11769.665
18,2008-07-31,393.0,2205.414
19,2008-08-31,207.00000000000003,815.94147
20,2008-09-30,186.0,2972.342
21,2008-10-31,353.99999999999994,4162.11
22,2008-11-30,765.0,3775.9233
23,2008-12-31,709.0,3806.335
24,2009-01-31,3038.9999999999995,4274.488
25,2009-02-28,6491.999999999999,6520.058
26,2009-03-31,15054.0,9758.135
27,2009-04-30,13451.0,16839.904
28,2009-05-31,9506.0,15043.903
29,2009-06-30,2288.0,8980.872
30,2009-07-31,838.0000000000001,2418.3389
31,2009-08-31,256.0,1748.529
32,2009-09-30,155.0,3327.537
33,2009-10-31,338.0,3635.3838
34,2009-11-30,1309.0,3607.333
35,2009-12-31,3031.0,4510.4883
36,2010-01-31,14626.999999999998,6374.315
37,2010-02-28,28887.0,16621.146
38,2010-03-31,55242.0,29474.496
39,2010-04-30,62142.0,49874.668
40,2010-05-31,37691.0,51885.09
41,2010-06-30,6178.999999999999,23432.8
42,2010-07-31,1635.0,-5769.5376
43,2010-08-31,635.0000000000001,-5603.648
44,2010-09-30,501.0000000000001,2019.9032
45,2010-10-31,426.0,3466.1943
46,2010-11-30,862.0000000000001,1613.3647
47,2010-12-31,2182.0,1508.4028
48,2011-01-31,3882.0000000000005,4536.0215
49,2011-02-28,5361.999999999999,7315.4204
50,2011-03-31,6543.000000000001,8421.457
51,2011-04-30,7873.0,9033.739
52,2011-05-31,6422.000000000001,9756.208
53,2011-06-30,1491.0,8225.606
54,2011-07-31,508.0,3493.831
55,2011-08-31,303.0,2458.4573
56,2011-09-30,268.0,3472.1584
57,2011-10-31,348.0,3990.096
58,2011-11-30,428.0,4074.2986
59,2011-12-31,670.0,4002.3262
60,2012-01-31,2283.0,4385.1064
61,2012-02-29,2541.0,6000.984
62,2012-03-31,3850.9999999999995,6320.86
63,2012-04-30,4741.0,7037.785
64,2012-05-31,3865.0,7717.849
65,2012-06-30,2513.0,6674.2197
66,2012-07-31,1229.0,5161.33
67,2012-08-31,657.0,4055.5632
68,2012-09-30,550.0,3829.4326
69,2012-10-31,676.0,4108.475
70,2012-11-30,1170.0,4342.906
71,2012-12-31,5801.0,4800.5596
72,2013-01-31,35383.0,8840.623
73,2013-02-28,62298.0,34995.36
74,2013-03-31,147089.0,59039.125
75,2013-04-30,124362.0,116656.97
76,2013-05-31,31329.0,90679.31
77,2013-06-30,7210.0,-1548.384
78,2013-07-31,1625.0,-18431.746
79,2013-08-31,658.0,-1703.1699
80,2013-09-30,613.0,6352.7485
81,2013-10-31,759.0,3114.8208
82,2013-11-30,1034.0,-3102.8376
83,2013-12-31,2280.0,274.67667
84,2014-01-31,4346.0,5272.1895
85,2014-02-28,8446.0,7571.798
86,2014-03-31,10228.999999999998,11082.368
87,2014-04-30,15461.0,12334.412
88,2014-05-31,10442.000000000002,15709.525
89,2014-06-30,4291.0,11047.174
90,2014-07-31,1309.0,3989.1055
91,2014-08-31,591.0,1912.763
92,2014-09-30,627.0,2798.504
93,2014-10-31,706.0,3920.9766
94,2014-11-30,847.9999999999999,4025.9666
95,2014-12-31,1110.0,3927.281
96,2015-01-31,4620.0,4475.769
97,2015-02-28,8117.000000000001,7785.4497
98,2015-03-31,25873.0,11146.885
99,2015-04-30,55926.0,25913.1
100,2015-05-31,56295.0,51937.438
101,2015-06-30,17624.0,48535.957
102,2015-07-31,4206.0,7224.0444
103,2015-08-31,1629.0,-7749.3013
104,2015-09-30,1141.0,-1104.4363
105,2015-10-31,1278.0,4201.8994
106,2015-11-30,3378.0,4048.9094
107,2015-12-31,13039.0,3440.3572
108,2016-01-31,50264.0,12777.211
109,2016-02-29,128271.0,47662.758
110,2016-03-31,163334.0,109773.836
111,2016-04-30,125194.99999999999,122711.33
112,2016-05-31,45555.0,71181.43
113,2016-06-30,8554.0,1471.0804
114,2016-07-31,1740.0,-13498.852
115,2016-08-31,1028.0,-238.19405
116,2016-09-30,794.9999999999999,5924.39
117,2016-10-31,867.0000000000001,757.5076
118,2016-11-30,1120.0,-2809.8884
119,2016-12-31,1755.0,86.8619
120,2017-01-31,4095.0,4187.116
121,2017-02-28,4448.0,7308.8022
122,2017-03-31,5424.0,7745.7144
123,2017-04-30,3684.0,7961.748
124,2017-05-31,3100.0000000000005,6294.0747
125,2017-06-30,1644.0,5364.7095
126,2017-07-31,627.0,4499.3643
127,2017-08-31,534.0000000000001,3701.22
128,2017-09-30,504.00000000000006,3878.525
129,2017-10-31,638.0,4120.715
130,2017-11-30,684.0,4331.0103
131,2017-12-31,1021.0,4455.166
132,2018-01-31,1920.0,0.0
133,2018-02-28,2193.0,0.0
134,2018-03-31,4087.9999999999995,0.0
135,2018-04-30,7333.0,0.0
136,2018-05-31,4559.0,0.0
137,2018-06-30,1866.0,0.0
138,2018-07-31,875.0,0.0
139,2018-08-31,554.0000000000001,0.0
140,2018-09-30,499.00000000000006,0.0
141,2018-10-31,784.0,4286.5444
142,2018-11-30,1344.0,4423.104
143,2018-12-31,3086.0,4824.4565
144,2019-01-31,13878.0,6486.2344
145,2019-02-28,31467.0,15920.305
146,2019-03-31,68625.0,31639.75
147,2019-04-30,142457.0,61616.656
148,2019-05-31,156537.0,113481.72
149,2019-06-30,46309.0,110610.65
150,2019-07-31,9367.0,10815.001
151,2019-08-31,2182.0,-21638.37
152,2019-09-30,1963.0,-4346.6895
153,2019-10-31,1574.0,7220.3706
154,2019-11-30,1405.0,5391.5767
155,2019-12-31,2296.0,-2745.6414
156,2020-01-31,7246.0,-488.33636
157,2020-02-29,12037.0,9073.467
158,2020-03-31,17078.0,14281.43
159,2020-04-30,18587.0,17722.434
160,2020-05-31,12444.0,17673.068
161,2020-06-30,5258.0,10867.854
162,2020-07-31,2690.0,3763.2805
163,2020-08-31,1409.0,2478.1956
164,2020-09-30,1276.0,3243.0542
165,2020-10-31,1104.0,3890.0974
166,2020-11-30,1316.0,3801.3171
167,2020-12-31,1883.0000000000002,3994.3984
168,2021-01-31,1955.0,4964.0464
169,2021-02-28,2714.0,5359.244
170,2021-03-31,4777.0,5970.496
171,2021-04-30,3863.0,7783.0474
172,2021-05-31,2851.0,6982.5547
173,2021-06-30,1780.0,5470.9604
174,2021-07-31,820.0,4522.119
175,2021-08-31,602.0000000000001,3927.4985
176,2021-09-30,617.0000000000001,4060.4858
177,2021-10-31,586.0,4259.9834
178,2021-11-30,1068.0,4272.1006
179,2021-12-31,2082.0,4744.581
180,2022-01-31,7584.714285714287,5705.011
181,2022-02-28,8243.714285714286,10468.338
182,2022-03-31,22018.285714285714,11243.158
183,2022-04-30,43064.71428571428,21655.037
184,2022-05-31,42097.85714285715,40223.35
185,2022-06-30,18417.857142857145,36795.992
186,2022-07-31,8682.57142857143,10371.994
187,2022-08-31,4990.999999999999,-475.91794
188,2022-09-30,4439.285714285714,1970.2332
